fecha,tmed,tmin,tmax,hrMedia,tmed_max,tmed_min,tmed_mean,tmin_max,tmin_min,tmin_mean,tmax_max,tmax_min,tmax_mean,hrMedia_max,hrMedia_min,hrMedia_mean,estacion_Invierno,estacion_Otoño,estacion_Primavera,estacion_Verano,mes
2019-01-01,13.899999618530273,9.600000381469727,18.200000762939453,63.0,16.399999618530273,13.199999809265137,14.307142530168806,14.100000381469727,9.600000381469727,10.928571564810616,20.899999618530273,15.899999618530273,17.999999727521622,86.0,36.0,59.285714285714285,True,False,False,False,1
2019-01-02,14.600000381469727,9.399999618530273,19.899999618530273,56.0,16.200000762939453,11.199999809265137,13.883333365122477,12.600000381469727,6.099999904632568,9.950000047683716,19.899999618530273,15.199999809265137,17.84999958674113,85.0,51.0,65.33333333333333,True,False,False,False,1
2019-01-03,13.100000381469727,9.600000381469727,16.600000381469727,70.0,16.600000381469727,10.199999809265137,13.59166669845581,13.100000381469727,5.300000190734863,9.750000158945719,21.799999237060547,14.199999809265137,17.399999777475994,86.0,41.0,67.66666666666667,True,False,False,False,1
2019-01-04,12.699999809265137,9.300000190734863,16.100000381469727,69.0,16.399999618530273,11.199999809265137,14.06666644414266,14.0,5.599999904632568,10.150000015894571,20.5,16.100000381469727,17.950000127156574,78.0,50.0,68.83333333333333,True,False,False,False,1
2019-01-05,12.399999618530273,7.900000095367432,17.0,67.0,15.399999618530273,11.399999618530273,13.383333047231039,12.899999618530273,7.699999809265137,10.099999984105429,17.899999618530273,15.0,16.699999968210857,74.0,40.0,62.0,True,False,False,False,1
2019-01-06,12.800000190734863,7.5,18.200000762939453,63.0,15.5,11.0,13.050000031789144,11.5,7.5,9.583333333333334,19.5,12.399999618530273,16.53333330154419,84.0,34.0,66.33333333333333,True,False,False,False,1
2019-01-07,13.800000190734863,8.600000381469727,19.100000381469727,65.0,15.0,11.399999618530273,13.133333365122477,10.699999809265137,8.600000381469727,9.300000031789144,19.200000762939453,12.5,16.96666685740153,90.0,33.0,66.83333333333333,True,False,False,False,1
2019-01-08,12.600000381469727,9.0,16.100000381469727,70.0,15.0,12.199999809265137,12.933333396911621,12.600000381469727,8.199999809265137,9.633333365122477,17.399999618530273,14.199999809265137,16.233333428700764,94.0,33.0,72.66666666666667,True,False,False,False,1
2019-01-09,13.800000190734863,7.5,20.0,66.0,18.149999618530273,10.600000381469727,13.474999984105429,15.600000381469727,7.099999904632568,9.75000007947286,21.600000381469727,13.100000381469727,17.18333339691162,87.0,56.0,71.66666666666667,True,False,False,False,1
2019-01-10,14.0,10.699999809265137,17.200000762939453,64.0,16.799999237060547,9.150000095367432,13.824999729792276,13.100000381469727,5.599999904632568,9.949999888737997,21.600000381469727,9.899999618530273,17.250000317891438,83.0,64.0,73.33333333333333,True,False,False,False,1
2019-01-11,13.0,10.699999809265137,15.399999618530273,68.0,15.800000190734863,9.600000381469727,13.633333524068197,12.199999809265137,6.599999904632568,10.46666661898295,19.5,12.699999809265137,16.833333174387615,76.0,68.0,71.33333333333333,True,False,False,False,1
2019-01-12,11.800000190734863,8.800000190734863,14.899999618530273,67.0,15.399999618530273,10.800000190734863,13.25,12.699999809265137,6.5,10.383333206176758,18.299999237060547,14.899999618530273,16.083333174387615,82.0,67.0,73.33333333333333,True,False,False,False,1
2019-01-13,11.800000190734863,7.599999904632568,16.0,68.0,14.800000190734863,11.600000381469727,12.983333428700766,12.100000381469727,6.300000190734863,9.566666841506958,18.200000762939453,14.399999618530273,16.43333339691162,80.0,63.0,73.83333333333333,True,False,False,False,1
2019-01-14,13.5,8.300000190734863,18.700000762939453,52.0,15.600000381469727,12.399999618530273,13.53333330154419,12.399999618530273,6.300000190734863,9.366666634877523,19.799999237060547,15.0,17.699999809265137,83.0,52.0,69.0,True,False,False,False,1
2019-01-15,14.5,10.399999618530273,18.600000381469727,68.0,16.0,12.5,14.133333365122477,12.199999809265137,6.5,9.899999936421713,22.0,14.100000381469727,18.383333206176758,78.0,61.0,69.66666666666667,True,False,False,False,1
2019-01-16,13.399999618530273,10.100000381469727,16.600000381469727,72.0,15.399999618530273,12.600000381469727,14.03333330154419,12.300000190734863,7.800000190734863,10.21666685740153,19.299999237060547,16.5,17.866666793823242,78.0,45.0,68.16666666666667,True,False,False,False,1
2019-01-17,13.600000381469727,10.5,16.600000381469727,66.0,16.299999237060547,12.899999618530273,14.399999936421713,14.5,8.300000190734863,11.166666666666666,19.0,15.699999809265137,17.583333492279053,86.0,66.0,72.5,True,False,False,False,1
2019-01-18,13.199999809265137,9.5,16.799999237060547,53.0,17.0,11.600000381469727,13.866666793823242,14.5,8.300000190734863,10.600000063578287,19.399999618530273,14.899999618530273,17.049999872843426,82.0,22.0,62.333333333333336,True,False,False,False,1
